ZCTA,Total_Population,Male_Under_5,Male_5_to_9,Male_10_to_14,Male_15_to_17,Male_18_to_19,Male_22_to_24,Male_25_to_29,Male_30_to_34,Male_35_to_39,Male_40_to_44,Male_45_to_49,Male_50_to_54,Male_55_to_59,Male_60_to_61,Male_62_to_64,Male_65_to_66,Male_67_to_69,Male_70_to_74,Male_75_to_79,Male_80_to_84,Male_85_plus,Female_Under_5,Female_5_to_9,Female_10_to_14,Female_15_to_17,Female_18_to_19,Female_22_to_24,Female_25_to_29,Female_30_to_34,Female_35_to_39,Female_40_to_44,Female_45_to_49,Female_50_to_54,Female_55_to_59,Female_60_to_61,Female_62_to_64,Female_65_to_66,Female_67_to_69,Female_70_to_74,Female_75_to_79,Female_80_to_84,Female_85_plus,Total_Race,White_Alone,Black_Alone,AI_AN_Alone,Asian_Alone,NHPI_Alone,Other_Race_Alone,Two_or_More_Races,Total_Ethnicity,Not_Hispanic,Hispanic_Latino,Total_Education,Male_Less_9th,Male_Some_HS,Male_HS_Grad,Male_Some_College,Male_Associates,Male_Bachelors,Male_Graduate,Female_Less_9th,Female_Some_HS,Female_HS_Grad,Female_Some_College,Female_Associates,Female_Bachelors,Female_Graduate,Total_Employment,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Armed_Forces,Not_in_Labor_Force,Median_Household_Income,Per_Capita_Income,Total_Households,Population_Under_18,Population_18_to_64,Population_65_plus,Working_Age_25_54,Less_than_HS,HS_Grad_or_Equivalent,Some_College,Associates_Degree,Bachelors_or_Higher,Labor_Force_Participation_Rate,Unemployment_Rate,Pct_White,Pct_Black,Pct_Asian,Pct_Hispanic
75001,16633,413,239,245,79,115,529,1370,1339,834,609,635,591,244,81,258,237,118,98,30,74,41,323,252,229,128,108,633,1481,922,763,644,568,331,454,135,226,207,185,346,97,39,48,16633,9243,2949,101,1226,0,1187,1927,16633,12110,4523,13005,6559,16,0,0,99,191,17,22,53,782,264,977,330,2778,14872,12188,12149,11749,400,39,2684,77598.0,55053.0,9355,1908,12870,1520,10087,6650,782,264,1076,3316,81.95,3.29,55.57,17.73,7.37,27.19
75002,72679,2156,2990,2875,2160,1292,941,1872,2038,1714,2770,3187,3172,2970,1356,865,892,602,1089,492,261,235,1865,2350,3057,1481,1123,1318,1991,1513,2148,2349,3697,2481,2887,643,1140,643,842,1027,894,454,459,72679,45714,9462,504,7663,0,1930,7406,72679,63287,9392,46683,23515,168,82,194,71,40,179,135,201,3200,1010,2982,1829,8790,56113,37774,37745,36013,1732,29,18339,119301.0,49655.0,22731,18934,43467,7890,28932,24019,3282,1204,3053,10838,67.32,4.59,62.9,13.02,10.54,12.92
75006,48062,1689,1392,1535,995,660,1283,2097,1758,1820,1900,1480,1642,1422,485,486,499,557,777,726,242,226,1237,1562,1433,895,418,933,1999,1783,2204,1360,1654,1408,1381,631,857,505,690,868,885,338,306,48062,31228,4361,112,3409,2,2836,6114,48062,24862,23200,32986,16117,306,128,894,381,264,181,268,319,3892,870,2325,814,3830,38515,28406,28361,27304,1057,45,10109,79672.0,41217.0,18491,10738,29661,6619,21105,17010,4020,1764,2706,5089,73.75,3.73,64.97,9.07,7.09,48.27
75007,54498,1050,1094,1637,1244,732,1127,2158,1813,2523,1819,1962,1866,2310,734,1319,560,644,1024,567,531,118,1074,963,1631,1129,648,977,1621,1967,2059,1786,2182,2077,2415,1085,928,571,1021,952,645,484,264,54498,30318,4460,281,8755,408,2207,8069,54498,39506,14992,40005,19948,643,64,370,15,140,157,117,295,3929,1177,2795,1564,5902,46340,33706,33706,32491,1215,0,12634,105969.0,47625.0,20170,9822,36108,7381,23833,21003,3993,1547,2810,7763,72.74,3.6,55.63,8.18,16.06,27.51
75009,28109,1011,1280,1332,742,356,221,749,1044,1350,1572,656,688,689,822,183,209,383,743,299,244,8,791,1047,1177,1013,235,303,463,874,1608,1195,693,865,549,180,150,185,646,588,227,131,76,28109,21012,1554,183,1528,61,355,3416,28109,23438,4671,18069,9639,21,0,412,69,0,15,1,140,1649,627,1428,840,3269,20895,14164,14132,13433,699,32,6731,153658.0,53193.0,8507,8393,15445,3739,11757,9801,1649,1039,1497,4124,67.79,4.95,74.75,5.53,5.44,16.62
75010,31609,1056,618,1092,535,319,517,1365,1448,908,1300,1124,1202,895,325,369,306,251,361,127,86,192,775,755,870,508,354,557,1085,1778,1617,1210,1521,1307,1286,337,649,256,341,413,171,269,461,31609,14963,4988,121,8497,39,957,2044,31609,26935,4674,22960,10259,128,16,30,0,20,50,19,225,1298,533,1588,842,3732,26220,20110,20110,19280,830,0,6110,98567.0,53892.0,12616,6209,21473,3234,15865,10631,1314,563,1588,4644,76.7,4.13,47.34,15.78,26.88,14.79
75013,46649,936,2045,1823,1141,790,965,1387,1372,1429,1792,2277,1648,1897,433,721,351,371,542,187,496,199,1037,1791,2333,847,653,434,1284,991,2565,1939,2005,2183,1574,431,513,440,468,535,603,321,144,46649,25684,3326,14,13920,11,997,2697,46649,42373,4276,31098,15102,77,0,12,36,30,0,68,192,1490,417,2018,813,5054,36020,26806,26802,25886,916,4,9214,149549.0,63196.0,16562,11953,29283,4657,20872,15439,1490,429,2054,5897,74.42,3.42,55.06,7.13,29.84,9.17
75019,44706,1414,1844,2134,1023,355,637,1023,1396,1572,1828,2061,1883,1478,716,930,364,666,500,227,162,70,1293,1534,1740,1266,494,580,1049,1385,2143,1935,1903,1675,1515,690,590,603,427,449,330,241,189,44706,24246,2387,171,13956,59,827,3060,44706,38449,6257,30000,14876,124,61,78,0,7,28,0,101,1243,435,1594,621,5768,34092,25447,25447,24985,462,0,8645,136679.0,70569.0,16923,12248,27838,4228,19853,15101,1304,513,1594,6424,74.64,1.82,54.23,5.34,31.22,14.0
75022,27000,780,762,1475,810,542,594,419,456,561,995,1102,1547,1536,448,426,140,395,420,207,67,173,691,865,1028,1049,220,347,499,505,753,990,1142,1309,1345,271,368,301,233,345,266,113,81,27000,19275,759,52,4253,0,1348,1313,27000,23342,3658,17413,8892,150,0,93,70,0,37,0,40,782,198,729,393,3996,20989,14378,14378,13920,458,0,6611,179892.0,73522.0,9029,7460,16375,2741,10278,9082,782,291,799,4426,68.5,3.19,71.39,2.81,15.75,13.55
75023,49376,1152,1429,1222,706,460,1086,1839,2023,1922,1939,1517,1663,1716,387,948,540,803,956,534,315,198,1604,1263,1476,971,644,1190,1861,1696,1814,1217,1420,1661,1671,775,1265,640,814,1012,657,518,466,49376,31920,4436,100,6526,0,1515,4879,49376,41675,7701,34787,17300,348,57,95,58,111,78,122,230,2327,905,2558,1361,6038,40584,28770,28734,27518,1216,36,11814,101246.0,47033.0,18408,9823,30714,7453,20572,18000,2384,1000,2616,7588,70.89,4.23,64.65,8.98,13.22,15.6
